DATE_DEBUT,LATITUDE,LONGITUDE,MONTH,FIRE_RISK,MAX_TEMP,PRECIPITATION,WIND_SPEED,MIN_HUMIDITY,14_DAY_RAIN,14_DAY_AVG_TEMP,DAYS_SINCE_RAIN
2022-05-09,45.985000000000014,-73.92849999999993,5.0,1,19.4,0.0,14.0,23.0,11.5,14.092857142857142,5.0
2022-05-09,46.38625705523528,-70.1797480882498,5.0,0,18.8,0.0,10.6,25.0,33.300000000000004,11.257142857142856,5.0
2018-06-11,58.19989861449074,-61.27625297004232,6.0,0,-0.5,0.0,26.1,87.0,59.7,0.9214285714285712,2.0
2020-08-15,50.18127767421284,-68.98823611618796,8.0,0,21.1,0.0,13.4,42.0,79.9,22.585714285714285,3.0
2023-05-11,51.19513254989003,-64.77319927213236,5.0,0,9.0,0.0,8.2,39.0,0.7000000000000001,9.071428571428571,14.0
2018-07-13,50.03690000096263,-79.42720000029357,7.0,1,26.1,5.8,24.5,57.0,23.9,26.2,4.0
2020-07-25,46.57210000131979,-72.42140000004396,7.0,1,29.7,0.0,18.0,35.0,76.8,26.02142857142857,2.0
2021-08-17,47.83770000058313,-73.60100000044412,8.0,1,27.4,0.0,12.7,44.0,26.3,23.978571428571428,4.0
2021-06-01,45.5975319381203,-74.12835557568334,6.0,0,23.0,0.1,19.5,38.0,6.9,23.25,6.0
2019-08-28,48.30870000101881,-69.98919999969429,8.0,1,25.1,1.2,16.8,45.0,15.4,22.014285714285712,5.0
2019-07-27,51.48090000073556,-64.73840000064024,7.0,1,26.3,0.1,18.4,45.0,26.1,19.142857142857142,7.0
2020-09-06,54.06719201343291,-58.6228596878977,9.0,0,16.0,0.1,33.4,46.0,62.3,14.871428571428572,2.0
2019-05-14,48.10010000106035,-79.26169999990616,5.0,1,18.7,0.0,15.6,22.0,37.6,9.885714285714284,4.0
2023-06-09,47.33187710969442,-78.0057012257196,6.0,0,18.5,4.0,9.7,50.0,1.4,23.56428571428572,14.0
2021-08-12,45.467400001351926,-74.3277999994941,8.0,1,29.2,1.9,21.2,65.0,34.0,24.571428571428573,1.0
2018-06-16,50.17460000098282,-72.67349999988306,6.0,1,23.5,0.0,10.7,22.0,25.8,15.171428571428567,9.0
2019-05-13,53.4641678152391,-64.62502089298377,5.0,0,3.4,0.4,17.0,79.0,44.5,0.9785714285714286,1.0
2019-07-27,50.82100000125967,-66.37809999935735,7.0,1,27.7,0.0,16.3,43.0,49.6,21.06428571428572,4.0
2018-05-13,45.96000000086207,-74.54519999979057,5.0,1,18.2,0.0,13.5,27.0,32.6,15.885714285714288,3.0
2022-07-10,51.28101223006114,-70.18318542580471,7.0,0,17.6,13.2,26.5,58.0,49.8,16.87142857142857,1.0
2020-05-27,46.70963405623696,-57.89195866340356,5.0,0,6.8,4.5,29.5,95.0,1.8,4.950000000000001,10.0
2023-08-17,58.54610745547217,-70.4499575276294,8.0,0,18.1,2.5,27.5,56.0,19.0,17.785714285714285,1.0
2023-07-05,52.6016000002399,-76.1739000001848,7.0,1,29.1,3.5,18.5,50.0,20.5,25.585714285714285,4.0
2024-05-17,47.72180000000003,-79.42279999999995,5.0,1,22.6,10.1,20.1,49.0,21.0,17.371428571428574,4.0
2024-05-28,55.21441016890183,-69.5405366355573,5.0,0,9.8,13.4,32.4,75.0,52.6,5.857142857142857,1.0
2021-05-13,45.06290000126191,-72.69039999965273,5.0,1,16.8,0.0,15.8,36.0,72.1,12.457142857142856,1.0
2024-06-25,50.61220000000003,-68.73889999999994,6.0,1,27.5,0.0,20.7,24.0,26.5,22.964285714285715,4.0
2023-09-01,57.73037081968914,-58.7242277140066,9.0,0,7.0,0.7,33.6,78.0,8.4,8.807142857142859,3.0
2022-05-14,50.03080000000011,-66.84389999999996,5.0,1,17.9,0.0,17.2,26.0,16.3,9.664285714285713,1.0
2019-06-27,50.8713000013497,-74.9040999996674,6.0,1,21.3,9.1,17.3,69.0,40.9,16.135714285714286,1.0
2018-09-15,51.20314328828284,-65.54278833736792,9.0,0,19.5,2.3,18.1,61.0,26.1,15.092857142857143,4.0
2024-08-08,47.48640000000006,-70.79249999999996,8.0,1,21.9,0.0,15.1,33.0,28.9,22.80714285714286,5.0
2023-05-29,48.25129999959535,-78.9789999995503,5.0,1,24.3,0.0,12.2,29.0,39.9,15.185714285714283,6.0
2024-07-01,54.17788126396733,-76.12896091705976,7.0,0,22.5,0.0,22.5,51.0,45.3,17.407142857142855,3.0
2022-07-05,57.54949696935547,-57.40009141972229,7.0,0,6.6,0.0,15.3,96.0,41.8,7.242857142857143,2.0
2023-09-07,56.741308692159095,-64.06770289931362,9.0,0,7.6,0.0,26.7,57.0,23.4,13.371428571428572,1.0
2021-08-16,53.86891071559148,-77.74505451226813,8.0,0,20.0,1.4,29.2,61.0,49.2,18.042857142857144,1.0
2023-09-19,56.11032288725265,-69.2898179423419,9.0,0,8.5,0.0,13.0,75.0,48.8,11.3,1.0
2020-07-27,46.86025086714319,-64.42874485542345,7.0,0,25.3,0.0,14.4,60.0,13.2,23.592857142857145,1.0
2021-07-27,48.43400000080627,-67.51820000017885,7.0,1,18.7,1.9,20.0,53.0,37.2,23.36428571428571,1.0
2022-09-09,47.62470000000013,-77.9169,9.0,1,25.6,0.0,18.2,48.0,38.9,21.285714285714285,6.0
2021-06-05,45.69121948827784,-60.32769550116774,6.0,0,15.1,0.0,27.1,92.0,56.8,12.35714285714286,1.0
2023-06-02,49.15110000026488,-75.16690000043462,6.0,1,24.7,0.0,20.9,25.0,27.0,19.507142857142856,9.0
2019-06-08,50.38760000137273,-62.96970000047371,6.0,1,16.2,0.5,23.5,36.0,70.9,13.364285714285714,1.0
2021-06-05,46.97150000050632,-73.53479999968019,6.0,1,23.0,3.5,23.4,62.0,33.6,18.90714285714285,2.0
2023-06-01,48.63719999968032,-74.02870000010489,6.0,1,29.6,4.4,12.8,31.0,37.2,17.014285714285716,8.0
2018-06-18,46.04961250562269,-59.85541462787981,6.0,0,12.6,7.5,36.3,78.0,18.5,12.964285714285712,3.0
2023-06-01,49.289099999665325,-72.41399999990006,6.0,1,29.3,0.7,18.0,36.0,31.8,18.178571428571427,8.0
2024-08-09,49.07270243771589,-77.41375954100144,8.0,0,23.7,7.3,16.3,64.0,14.0,25.17142857142857,7.0
2020-08-10,51.87890000107184,-59.28790000006991,8.0,1,24.0,1.0,11.9,52.0,50.3,22.478571428571428,1.0
2018-07-05,47.08290000092165,-78.91799999956216,7.0,1,31.0,1.2,22.2,46.0,27.1,26.178571428571427,4.0
2023-06-01,46.5993999998102,-74.84079999982009,6.0,1,32.1,0.3,14.5,29.0,40.7,19.985714285714288,8.0
2019-06-20,45.27900000123929,-72.9608000001046,6.0,1,20.9,26.7,20.7,84.0,39.2,22.06428571428572,5.0
2021-07-05,53.49900000107464,-78.54449999958122,7.0,1,28.3,0.0,19.9,57.0,57.5,17.53571428571429,11.0
2024-08-21,54.95905804344173,-68.21905662265016,8.0,0,17.2,0.0,18.7,43.0,24.3,18.51428571428572,4.0
